Unnamed: 0,b_major,b_minor,t_building,t_floor,interval,rssi,testid,timestamp,t_x,t_y,beacon_id,b_floor,b_x,b_y,t_pos,t_num
58,1000,573,31,1,5,-79,1-5,2019-06-05 15:28:13,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,5
59,1000,594,31,1,5,-85,1-5,2019-06-05 15:28:13,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,5
60,1000,531,31,1,5,-68,1-5,2019-06-05 15:28:14,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,5
61,1000,514,31,1,5,-77,1-5,2019-06-05 15:28:14,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,5
62,1000,575,31,1,5,-86,1-5,2019-06-05 15:28:14,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,5
63,1000,573,31,1,5,-78,1-5,2019-06-05 15:28:15,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,5
64,1000,514,31,1,5,-77,1-5,2019-06-05 15:28:15,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,5
65,1000,575,31,1,5,-85,1-6,2019-06-05 15:28:20,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,6
66,1000,531,31,1,5,-75,1-6,2019-06-05 15:28:20,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,6
67,1000,573,31,1,5,-78,1-6,2019-06-05 15:28:21,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,6
68,1000,573,31,1,5,-78,1-6,2019-06-05 15:28:21,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,6
69,1000,541,31,1,5,-93,1-6,2019-06-05 15:28:21,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.260466244656378,9.09139753922206,1,6
70,1000,531,31,1,5,-69,1-6,2019-06-05 15:28:22,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,6
71,1000,594,31,1,5,-84,1-6,2019-06-05 15:28:22,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,6
72,1000,573,31,1,5,-79,1-6,2019-06-05 15:28:22,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,6
73,1000,514,31,1,5,-77,1-6,2019-06-05 15:28:23,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,6
74,1000,594,31,1,5,-84,1-6,2019-06-05 15:28:23,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,6
75,1000,573,31,1,5,-78,1-6,2019-06-05 15:28:23,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,6
76,1000,531,31,1,5,-69,1-6,2019-06-05 15:28:24,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,6
77,1000,514,31,1,5,-73,1-6,2019-06-05 15:28:24,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,6
78,1000,575,31,1,5,-86,1-7,2019-06-05 15:28:29,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,7
79,1000,594,31,1,5,-84,1-7,2019-06-05 15:28:29,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,7
80,1000,573,31,1,5,-79,1-7,2019-06-05 15:28:30,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,7
81,1000,514,31,1,5,-73,1-7,2019-06-05 15:28:30,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,7
82,1000,573,31,1,5,-78,1-7,2019-06-05 15:28:30,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,7
83,1000,531,31,1,5,-68,1-7,2019-06-05 15:28:31,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,7
84,1000,575,31,1,5,-85,1-7,2019-06-05 15:28:31,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,7
85,1000,594,31,1,5,-85,1-7,2019-06-05 15:28:31,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,7
86,1000,573,31,1,5,-78,1-7,2019-06-05 15:28:32,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,7
87,1000,531,31,1,5,-69,1-7,2019-06-05 15:28:32,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,7
88,1000,514,31,1,5,-77,1-7,2019-06-05 15:28:32,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,7
89,1000,541,31,1,5,-92,1-7,2019-06-05 15:28:33,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.260466244656378,9.09139753922206,1,7
90,1000,575,31,1,5,-87,1-7,2019-06-05 15:28:33,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,7
91,1000,594,31,1,5,-83,1-7,2019-06-05 15:28:33,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,7
92,1000,575,31,1,5,-86,1-8,2019-06-05 15:28:38,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,8
